item_id,i_cat_id,item_name,i_tested,clean_item_name,delim_name_list,d_len,d_maxgram
0,40,! POWER IN glamor (PLAST.) D,False, power in glamor plast dvd,"['power in glamor', 'plast', 'dvd']",3,3
1,76,"! ABBYY FineReader 12 Professional Edition Full [PC, Digital Version]",False, abbyy finereader 12 professional edition full pc digital version,"['abbyy finereader 12 professional edition full', 'pc digital version']",2,6
2,40,*** In the glory (UNV) D,False, in the glory unv dvd,"['in the glory', 'unv', 'dvd']",3,3
3,40,*** BLUE WAVE (Univ) D,False, blue wave univ dvd,"['blue wave', 'univ', 'dvd']",3,2
4,40,*** BOX (GLASS) D,False, box glass dvd,"['box', 'glass', 'dvd']",3,1
5,40,*** NEW American Graffiti (UNI) D,False, new american graffiti uni dvd,"['new american graffiti', 'uni', 'dvd']",3,3
6,40,*** shot on goal (UNI) D,False, shot on goal uni dvd,"['shot on goal', 'uni', 'dvd']",3,3
7,40,*** shot on goal-2 (UNI) D,False, shot on goal2 uni dvd,"['shot on goal2', 'uni', 'dvd']",3,3
8,40,*** Tea with Mussolini D,False, tea with mussolini dvd,['tea with mussolini dvd'],1,4
9,40,*** SHUGARLENDSKY EXPRESS (UNI) D,False, shugarlendsky express uni dvd,"['shugarlendsky express', 'uni', 'dvd']",3,2
10,40,* BEYOND DEATH D,False, beyond death dvd,['beyond death dvd'],1,3
11,40,* DEATH LINE D,False, death line dvd,['death line dvd'],1,3
12,55,* Micah Jumanji Amores Perros,False, micah jumanji amores perros,['micah jumanji amores perros'],1,4
13,40,* SAVING EMILY D,False, saving emily dvd,['saving emily dvd'],1,3
14,40,* Nutty Professor / MAGIC / D,False, nutty professor magic dvd,"['nutty professor', 'magic', 'dvd']",3,2
15,40,// Crank: One against all (Region),False, crank one against all region,"['crank', 'one against all', 'region']",3,3
16,40,// Mongolia S.Bodrov (Region),False, mongolia sbodrov region,"['mongolia sbodrov', 'region']",2,2
17,40,// Untraceable (Region),False, untraceable region,"['untraceable', 'region']",2,1
18,40,/ BOMB FOR BRIDE / 2DVD / D,False, bomb for bride 2dvd dvd,"['bomb for bride', '2dvd', 'dvd']",3,3
19,40,/ GOLDEN COLLECTION m / p-72,False, golden collection m p72,"['golden collection m', 'p72']",2,3
20,40,/ Once in China-2,False, once in china2,['once in china2'],1,3
21,40,/LAST CHANCE,False,last chance,['last chance'],1,2
22,40,/ CURSE OF EL Charro,False, curse of el charro,['curse of el charro'],1,4
23,40,/ North and South /CH.2/,False, north and south ch2,"['north and south', 'ch2']",2,3
24,40,/ DEADLY BREAKDOWN,False, deadly breakdown,['deadly breakdown'],1,2
25,40,/YOU ARE DEAD,False,you are dead,['you are dead'],1,3
26,40,/ V.2 multiplies GRIEF (ser.3-4),False, v2 multiplies grief ser34,"['v2 multiplies grief', 'ser34']",2,3
27,19,"007 Legends [PS3, Russian version]",False,007 legends ps3 russian version,"['007 legends', 'ps3 russian version']",2,3
28,30,"007 Legends [Pc, Jewel, Russian version]",False,007 legends pc jewel russian version,"['007 legends', 'pc jewel russian version']",2,4
29,23,007 Legends [Xbox 360 Russian version],False,007 legends xbox 360 russian version,"['007 legends', 'xbox 360 russian version']",2,4
30,40,"007: COORDINATES ""SKAYFOLL""",True,007 coordinates skayfoll,"['007', 'coordinates', 'skayfoll']",3,1
