item_id,item_tested,item_category_id,cluster_code,item_category3,item_category3_enc,item_category4,item_category4_enc
0,False,40,920,Movies,7,Movies,3
1,False,76,2600,Software,10,PC,5
2,False,40,802,Movies,7,Movies,3
3,False,40,330,Movies,7,Movies,3
4,False,40,1686,Movies,7,Movies,3
5,False,40,806,Movies,7,Movies,3
6,False,40,2371,Movies,7,Movies,3
7,False,40,2371,Movies,7,Movies,3
8,False,40,40,Movies,7,Movies,3
9,False,40,806,Movies,7,Movies,3
10,False,40,499,Movies,7,Movies,3
11,False,40,3027,Movies,7,Movies,3
12,False,55,6042,Music,8,Music,4
13,False,40,40,Movies,7,Movies,3
14,False,40,40,Movies,7,Movies,3
15,False,40,1372,Movies,7,Movies,3
16,False,40,40,Movies,7,Movies,3
17,False,40,40,Movies,7,Movies,3
18,False,40,40,Movies,7,Movies,3
19,False,40,3278,Movies,7,Movies,3
20,False,40,3122,Movies,7,Movies,3
21,False,40,40,Movies,7,Movies,3
22,False,40,1616,Movies,7,Movies,3
23,False,40,3990,Movies,7,Movies,3
24,False,40,40,Movies,7,Movies,3
25,False,40,40,Movies,7,Movies,3
26,False,40,40,Movies,7,Movies,3
27,False,19,2959,Games,4,PlayStation,6
28,False,30,2253,Games,4,PC,5
29,False,23,2959,Games,4,Xbox,7
30,True,40,1109,Movies,7,Movies,3
31,True,37,1109,Movies,7,Movies,3
32,True,40,4055,Movies,7,Movies,3
33,True,37,4055,Movies,7,Movies,3
34,False,40,2199,Movies,7,Movies,3
35,False,40,3991,Movies,7,Movies,3
36,False,37,37,Movies,7,Movies,3
37,False,40,3991,Movies,7,Movies,3
38,True,41,41,Movies,7,Movies,3
39,False,41,41,Movies,7,Movies,3
40,False,57,231,Music,8,Music,4
41,False,57,231,Music,8,Music,4
42,True,57,231,Music,8,Music,4
43,False,40,1104,Movies,7,Movies,3
44,False,57,897,Music,8,Music,4
45,True,57,231,Music,8,Music,4
46,False,57,231,Music,8,Music,4
47,False,57,231,Music,8,Music,4
48,False,57,231,Music,8,Music,4
49,False,57,231,Music,8,Music,4
50,False,57,451,Music,8,Music,4
51,True,57,231,Music,8,Music,4
52,False,57,231,Music,8,Music,4
53,True,57,231,Music,8,Music,4
54,False,57,231,Music,8,Music,4
55,False,43,930,Books,1,Books,1
56,False,57,1146,Music,8,Music,4
57,True,57,1146,Music,8,Music,4
58,False,78,1350,Software,10,PC,5
59,True,57,231,Music,8,Music,4
60,False,43,1067,Books,1,Books,1
61,False,43,448,Books,1,Books,1
62,True,37,2199,Movies,7,Movies,3
63,False,40,1497,Movies,7,Movies,3
64,True,40,4351,Movies,7,Movies,3
65,False,37,1497,Movies,7,Movies,3
66,False,37,4351,Movies,7,Movies,3
67,True,40,4351,Movies,7,Movies,3
68,False,30,518,Games,4,PC,5
69,True,54,1497,Books,1,PC,5
70,True,49,1497,Books,1,Books,1
71,False,37,4300,Movies,7,Movies,3
72,True,40,4300,Movies,7,Movies,3
73,False,40,40,Movies,7,Movies,3
74,False,37,1534,Movies,7,Movies,3
75,False,40,1534,Movies,7,Movies,3
76,True,37,3992,Movies,7,Movies,3
77,False,40,3992,Movies,7,Movies,3
78,False,40,2898,Movies,7,Movies,3
79,False,40,2898,Movies,7,Movies,3
80,True,37,37,Movies,7,Movies,3
81,False,40,40,Movies,7,Movies,3
