shop_name,shop_city_population,en_shop_name,shop_id,shop_city,shop_category,shop_federal_district,shop_tested,,Sales Characteristics:,,,,New Years is around day 365 and day 730 --> frequently spike in sales
"!Якутск Орджоникидзе, 56 фран",235600,"! Yakutsk Ordzhonikidze, 56 Franc",0,Yakutsk,Shop,Eastern,FALSE,,slice near day 0 fits exactly with hole in #57 --> merge 0 into 57,,,,
"!Якутск ТЦ ""Центральный"" фран",235600,"! Yakutsk TC ""Central"" Franc",1,Yakutsk,Mall,Eastern,FALSE,,slice near day 0 fits exactly with hole in #58 --> merge 1 into 58,,,,
"Адыгея ТЦ ""Мега""",144055,"Adygea TC ""Mega""",2,Adygea,Mega,South,TRUE,,sales near 25/day; dropout slice near day 20-30; small spike at new years (much bigger at 730 than 365); **not much of a negative slope in sales over time**,,,,
"Балашиха ТРК ""Октябрь-Киномир""",150103,"Balashikha TRC ""October-Kinomir""",3,Balashikha,Mall,Central,TRUE,,sales near 25/day; small spikes at new years; minor negative slope; full 2-year sales coverage,,,,
"Волжский ТЦ ""Волга Молл""",1011417,"Volzhsky mall ""Volga Mall""",4,Volgograd,Mall,South,TRUE,,sales near 35/day; large spikex at new year; negative slope; dropout slice around days 100-120,,,,
"Вологда ТРЦ ""Мармелад""",314900,"Vologda SEC ""Marmalade""",5,Vologda,SEC,Northwestern,TRUE,,sales near 40/day; dropout first 20-30 days; spike at day 365; much smaller spike at 730; only minor negative slope,,,,
"Воронеж (Плехановская, 13)",848752,"Voronezh (Plekhanovskaya, 13)",6,Voronezh,Shop,Central,TRUE,,sales near 100/day; full coverage all 2 years; spike at 365; much smaller at 730; significant negative slope,,,,
"Воронеж ТРЦ ""Максимир""",848752,"Voronezh SEC ""Maksimir""",7,Voronezh,SEC,Central,TRUE,,sales near 50/day; full 2year coverage; big spikes at 365 and 730; significant negative slope,,,,
"Воронеж ТРЦ Сити-Парк ""Град""",848752,"Voronezh shopping center City Park ""Castle""",8,Voronezh,Mall,Central,FALSE,,"sales only in the first 90 days or so; roughly 40 sales/day, then zero",,,,
Выездная Торговля,100000,Itinerant trade,9,None,Itinerant,None,FALSE,,"giant spikes near 270 (2300), 650 (2100), and 1000 (1100units); sales at or near zero in between these days",,,,
Жуковский ул. Чкалова 39м?,105000,Zhukovsky Street. Chkalov 39m?,10,Zhukovsky,Shop,Central,TRUE,,sales near 25/day; dropout slice matches #11; spike at 730 but very little at 365; significant negative slope,,,,
