shop_name,shop_id,shop_group,shop_federal_district,shop_federal_district_enc,shop_tested,en_shop_name,shop_city_population,shop_type,shop_type_enc,shop_city,shop_city_enc,s_type_broad,s_type_broad_enc,fd_popdens,fd_popdens_enc,fd_gdp,fd_gdp_enc
"!Якутск Орджоникидзе, 56 фран",0,N,Eastern,16,FALSE,"! Yakutsk Ordzhonikidze, 56 Franc",235600,Shop,20,Yakutsk,54,Shop,10,Remote,5,Intermediate,43
"!Якутск ТЦ ""Центральный"" фран",1,N,Eastern,16,FALSE,"! Yakutsk TC ""Central"" Franc",235600,Mall,50,Yakutsk,54,Mall,60,Remote,5,Intermediate,43
"Адыгея ТЦ ""Мега""",2,S,South,32,TRUE,"Adygea TC ""Mega""",144055,Mega,30,Adygea,10,Mall,60,Intermediate,31,Low,25
"Балашиха ТРК ""Октябрь-Киномир""",3,M,Central,56,TRUE,"Balashikha TRC ""October-Kinomir""",150103,Mall,50,Balashikha,8,Mall,60,Populous,57,Intermediate,43
"Волжский ТЦ ""Волга Молл""",4,S,South,32,TRUE,"Volzhsky mall ""Volga Mall""",1011417,Mall,50,Volgograd,14,Mall,60,Intermediate,31,Low,25
"Вологда ТРЦ ""Мармелад""",5,W,Northwestern,8,TRUE,"Vologda SEC ""Marmalade""",314900,SEC,40,Vologda,12,Mall,60,Remote,5,Intermediate,43
"Воронеж (Плехановская, 13)",6,M,Central,56,TRUE,"Voronezh (Plekhanovskaya, 13)",848752,Shop,20,Voronezh,52,Shop,10,Populous,57,Intermediate,43
"Воронеж ТРЦ ""Максимир""",7,M,Central,56,TRUE,"Voronezh SEC ""Maksimir""",848752,SEC,40,Voronezh,52,Mall,60,Populous,57,Intermediate,43
"Воронеж ТРЦ Сити-Парк ""Град""",8,E,Central,56,FALSE,"Voronezh shopping center City Park ""Castle""",848752,Mall,50,Voronezh,52,Mall,60,Populous,57,Intermediate,43
Выездная Торговля,9,O,None,0,FALSE,Itinerant trade,100000,Itinerant,0,None,50,Online,35,Online,25,High,60
Жуковский ул. Чкалова 39м?,10,M,Central,56,TRUE,Zhukovsky Street. Chkalov 39m?,105000,Shop,20,Zhukovsky,6,Shop,10,Populous,57,Intermediate,43
Жуковский ул. Чкалова 39м²,11,M,Central,56,FALSE,Zhukovsky Street. Chkalov 39m²,105000,Shop,20,Zhukovsky,6,Shop,10,Populous,57,Intermediate,43
Интернет-магазин ЧС,12,B,None,0,TRUE,Shop Online Emergencies,20000000,Online,10,None,50,Online,35,Online,25,High,60
"Казань ТЦ ""Бехетле""",13,F,Volga,48,FALSE,"Kazan shopping center ""Bahetle""",1104738,Mall,50,Kazan,22,Mall,60,Intermediate,31,Low,25
"Казань ТЦ ""ПаркХаус"" II",14,V,Volga,48,TRUE,"Kazan shopping mall of ""Parkhouse"" II of",1104738,Mall,50,Kazan,22,Mall,60,Intermediate,31,Low,25
"Калуга ТРЦ ""XXI век""",15,M,Central,56,TRUE,"Kaluga SEC ""XXI Century""",338978,SEC,40,Kaluga,26,Mall,60,Populous,57,Intermediate,43
"Коломна ТЦ ""Рио""",16,M,Central,56,TRUE,"Kolomna shopping center ""Rio""",147690,Mall,50,Kolomna,20,Mall,60,Populous,57,Intermediate,43
"Красноярск ТЦ ""Взлетка Плаза""",17,I,Siberian,40,FALSE,"Krasnoyarsk TC ""Vzletka Plaza""",927200,Mall,50,Krasnoyarsk,34,Mall,60,Remote,5,Low,25
"Красноярск ТЦ ""Июнь""",18,I,Siberian,40,TRUE,"Krasnoyarsk SC ""June""",927200,Mall,50,Krasnoyarsk,34,Mall,60,Remote,5,Low,25
"Курск ТЦ ""Пушкинский""",19,M,Central,56,TRUE,"Kursk TC ""Pushkin""",409431,Mall,50,Kursk,28,Mall,60,Populous,57,Intermediate,43
"Москва ""Распродажа""",20,O,None,0,FALSE,"Moscow ""Sale""",20000000,Online,10,None,50,Online,35,Online,25,High,60
"Москва МТРЦ ""Афи Молл""",21,M,Central,56,TRUE,"Moscow MTRTS ""Afi Mall""",10381222,Mall,50,Moscow,56,Mall,60,Populous,57,Intermediate,43
Москва Магазин С21,22,B,Central,56,TRUE,Moscow C21 Store,10381222,Shop,20,Moscow,56,Shop,10,Populous,57,Intermediate,43
"Москва ТК ""Буденовский"" (пав.А2)",23,E,Central,56,FALSE,"Moscow TK ""Budenovsky"" (pav.A2)",10381222,Mall,50,Moscow,56,Mall,60,Populous,57,Intermediate,43
"Москва ТК ""Буденовский"" (пав.К7)",24,M,Central,56,TRUE,"Moscow TK ""Budenovsky"" (pav.K7)",10381222,Mall,50,Moscow,56,Mall,60,Populous,57,Intermediate,43
"Москва ТРК ""Атриум""",25,M,Central,56,TRUE,"Moscow SEC ""Atrium""",10381222,SEC,40,Moscow,56,Mall,60,Populous,57,Intermediate,43
"Москва ТЦ ""Ареал"" (Беляево)",26,M,Central,56,TRUE,"Moscow shopping mall ""area"" (Belyaevo)",10381222,Mall,50,Moscow,56,Mall,60,Populous,57,Intermediate,43
"Москва ТЦ ""МЕГА Белая Дача II""",27,F,Central,56,FALSE,"Moscow shopping center ""MEGA Belaya Dacha II""",10381222,Mega,30,Moscow,56,Mall,60,Populous,57,Intermediate,43
"Москва ТЦ ""МЕГА Теплый Стан"" II",28,M,Central,56,TRUE,"Moscow shopping center ""MEGA Teply Stan"" II of",10381222,Mega,30,Moscow,56,Mall,60,Populous,57,Intermediate,43
"Москва ТЦ ""Новый век"" (Новокосино)",29,M,Central,56,FALSE,"Moscow shopping center ""New Age"" (Novokosino)",10381222,Mall,50,Moscow,56,Mall,60,Populous,57,Intermediate,43
"Москва ТЦ ""Перловский""",30,F,Central,56,FALSE,"Moscow shopping center ""Perlovskiy""",160542,SEC,40,Mytishchi,0,Mall,60,Populous,57,Intermediate,43
